Team,Total Points,I,II,III,IV,V,VI,VII,VIII,IX,X,Trades
Dart GC,696,0,0,0,0,0,0,0,0,0,0,30
Double Down GC,453,100,85,81,41,36,0,0,0,0,0,-30
Smoke GC,222,0,0,0,50,55,0,170,0,0,0,
Mamba GC,427,70,0,12,50,150,0,0,100,0,0,
Tiger GC,129,0,0,170,100,0,0,0,0,150,0,
Chaos GC,732,0,0,0,0,118,0,0,0,0,0,
Nighthawk GC,478,0,85,32,52,18,100,0,0,0,0,
Clutch GC,55,0,0,0,42,0,0,0,0,0,150,
Shark GC,771,0,0,32,16,80,0,0,0,0,0,
Quattro GC,526,0,0,17,0,18,0,0,0,0,0,
Hammer GC,209,0,0,12,0,40,0,0,0,0,0,
Elite GC,162,0,0,0,2,18,0,0,0,0,0,

