Team,Total,I,II,III,IV,V,VI,VII,VIII,IX,X,Trades
Dart GC,648,100,139,81,41,36,59,49,0,33,80,30
Double Down GC,1052,69,85,26,170,111,154,224,82,123,38,-30
Smoke GC,1089,240,62,38,85,160,108,79,106,166,45,
Mamba GC,585,7,27,218,100,0,20,0,40,173,0,
Tiger GC,430,88,0,0,0,118,48,0,16,80,80,
Chaos GC,763,7,184,102,63,28,111,59,0,64,145,
Nighthawk GC,741,45,37,0,77,105,11,53,122,84,207,
Clutch GC,277,7,6,32,16,80,52,0,63,0,21,
Shark GC,583,70,54,45,17,18,56,60,14,38,211,
Quattro GC,463,7,0,40,46,40,17,70,128,38,77,
Hammer GC,782,67,85,0,72,183,67,111,97,100,0,
Stealth,0,0,0,0,0,0,0,0,0,0,0,
Elite GC,243,0,27,126,17,28,0,0,40,5,0,
