Team,DC Points,Captain,Player 1,Player 2,Player 3,Player 4,
Dart GC,-,Varies,Varies,Varies,Varies,Varies
Double Down GC,-,Davis Milton,Varies,Varies,Varies,Varies
Smoke GC,-,John Hoover,Varies,Varies,Varies,Varies
Mamba GC,-,Ethan Cherry,Varies,Varies,Varies,Varies
Tiger GC,-,Varies,Varies,Varies,Varies,Varies
Chaos GC,-,Ian Raphael,Varies,Varies,Varies,Varies
Nighthawk GC,-,Ryan Waters,Varies,Varies,Varies,Varies
Clutch GC,-,Robert Meara,Varies,Varies,Varies,Varies
Shark GC,-,Jack McConnell,Varies,Varies,Varies,Varies
Quattro GC,-,Varies,Varies,Varies,Varies,Varies
Hammer GC,-,Cam Ruk,Varies,Varies,Varies,Varies
Elite GC,-,Varies,Varies,Varies,Varies,Varies
